,Tweet,Bernie,Sentiment_Bernie,Trump,Sentiment_Trump,Clinton,Sentiment_Clinton,Cruz,Sentiment_Cruz,Sarcastic
44,Cruz looks past New Hampshire to South Carolina https://t.co/zICsmqZHOH | Getty https://t.co/WxR27stdh6,0,0,0,0,0,0,1,2,
45,#RT #Follow #TopStories How would Bernie Sanders deal with the world? - CNN https://t.co/C3ha2BZMcE https://t.co/Z3gb9mLBPH,1,2,0,0,0,0,0,0,
46,Ted Cruz and Ben Carson: Next president should name #Scalia replacement https://t.co/GSh1Zii4ng #SCOTUS #GOP #tcot,0,0,0,0,0,0,1,2,
47,"RT @SFL4Hillary And now, Rep. John Lewis is being attacked by Sanders supporters for the Congressional Black Caucus PAC's endorsement of Hillary Clinton",1,2,0,0,1,2,0,0,
48,RT @Bluesman57 Pressure on Lynch to step aside in Clinton email probe https://t.co/Msg9M85DQV,0,0,0,0,1,2,0,0,
49,RT @richarddeitsch One of the great things about Donald Trump are the specifics he brings to his speeches.,0,0,1,1,0,0,0,0,
50,"I am smearing my fellow Texan Cruz for lying about Rubio: same sex marriage, PP defunding, immigration. https://t.co/YIj5pah8pO",0,0,0,0,0,0,1,3,
51,"RT @BBCKimGhattas Hillary Clinton on stage now: ""I am thrilled to be in New Hampshire after winning Iowa!"" https://t.co/dfnjc15aTt",0,0,0,0,1,2,0,0,
52,"RT @_CFJ_ #Bernie went 2 @TheRevAl to pander.

I'm sure he told him #BlackLivesMatter

I'm ALSO sure he didn't mention #Amnesty https://t.co/DnC2XqHxxL",1,3,0,0,0,0,0,0,
53,@keelDonaldTrump MR TRUMP YOU DID A GREAT JOB THE ROOT OF JEB BUSH PROBLEM HE HATE TO LOSE TO YOU REALLY,0,0,1,1,0,0,0,0,
54,"Clilnton said Sanders proposed Iranian troops in Syria. As part of a  Muslim coalition, yes. Mostly True. https://t.co/6Rxln3opBw",1,2,0,0,1,2,0,0,
55,Tune as @inespohl and @rbsw talk to #Trump supporters in #NewHampshire ahead of the #NHPrimary.  https://t.co/oHsISU7ULt,0,0,1,2,0,0,0,0,
56,RT @AP The AP will not declare winner in Iowa Democratic caucuses at this time because of the closeness of the race between Clinton and Sanders.,1,2,0,0,1,2,0,0,
57,RT @SortaBad Ted Cruz and his daughter re-enacting the end of every date I've ever been on https://t.co/f821F5CQVx,0,0,0,0,0,0,1,3,
58,"Chelsea,you're a snake like your mom & step-dad, bubba. We all know your real dad is NOT Bill Clinton, sweetheart, https://t.co/jWPk5coMcC",0,0,0,0,1,3,0,0,
59,"@AndreaTantaros @realDonaldTrump 
Trump will be 2nd or 3rd in NH!",0,0,1,2,0,0,0,0,
60,"UMassTracking Poll :

Trump  36 (+1),
Rubio   14 ,
Cruz     13,
Jeb       10,
Kasich   9 (-1).

Through yesterday, before the debate.",0,0,1,2,0,0,1,2,
61,RT @Mediaite Geraldo Rivera Says Ted Cruz Campaign May Be Guilty of a Crime https://t.co/Pb1spES10O (VIDEO),0,0,0,0,0,0,1,3,
62,They just keep stepping in it... RT @politico: Clinton confronts Nevada blowback https://t.co/8UBPt8bUB2 | AP Photo https://t.co/lnuClRvh1x,0,0,0,0,1,3,0,0,
63,"RT @realDonaldTrump We are getting reports from many voters that the Cruz people are back to doing very sleazy and dishonest ""pushpolls"" on me. We are watching!",0,0,1,1,0,0,1,3,
64,"As Sanders and Trump Soar, Realignment Appears Imminent, on Both Left and Right https://t.co/ltqeKposQe https://t.co/hf1kqPAkSj",1,2,1,2,0,0,0,0,
65,Trump says he'll 'act in a different way' if he becomes president https://t.co/rVE4J8AUNH https://t.co/zrNO18j9Ar,0,0,1,2,0,0,0,0,
66,"@MetalMama2011 @amrightnow @realDonaldTrump
And yet Trump insults and uses them as props.",0,0,1,3,0,0,0,0,
67,RT @9NewsAUS Republican candidate Ted Cruz has beaten out billionaire Donald Trump in the Iowa caucus. @rmpenfold #9News https://t.co/AQWHZBp5cD,0,0,1,2,0,0,1,2,
68,I added a video to a @YouTube playlist https://t.co/zvTKYOIVTN Hillary Clinton Says I'm Unelectable | Bernie Sanders,1,2,0,0,1,2,0,0,
69,"RT @hughespaintings The odds of finding a stuffed bird that looked like Donald Trump in Bristol museum were low today, yet somehow... https://t.co/iNFUQibmLv",0,0,1,3,0,0,0,0,
70,"RT @TrumpTheSystem I think this @AnnCoulter article is still one of the best.

Trump is like Reagan and the media is clueless about it https://t.co/wVJCxK3a8y",0,0,1,2,0,0,0,0,
71,RT @realDonaldTrump Ted Cruz is a cheater! He holds the Bible high and then lies and misrepresents the facts!,0,0,0,0,0,0,1,3,
72,It's happened. I just woke up from a sex dream about Donald Trump.,0,0,1,2,0,0,0,0,
73,Donald Trump leaves Iowa a loser https://t.co/dqH4Y4hdnR,0,0,1,3,0,0,0,0,
74,@BecketAdams @JPTruss @GayPatriot except Cruz now realises Trump's power and is debating him. Rubio is still hiding from Trump on stage,0,0,1,1,0,0,1,2,
75,Hillary Clinton always has a small bottle of hot sauce in her bag? https://t.co/IxyZZBnGhb https://t.co/sVFSVDwtKe,0,0,0,0,1,3,0,0,
76,"Ted Cruz was right in that moderator exchange. He looks so strong on security, perhaps thats part of his appeal. #GOPDebate",0,0,0,0,0,0,1,1,
77,"Ted Cruz was a big supporter of Judge Roberts, who upheld the individual mandate, a huge win for Obama. https://t.co/Q46vnoDuHt",0,0,0,0,0,0,1,2,
78,"RT @amy_hollyfield Exclusive interview: Donald Trump talks Cuba, oil drilling and 'badly hurt' Marco Rubio https://t.co/gTuT76tUoR @TB_Times @adamsmithtimes",0,0,1,2,0,0,0,0,
79,The Bernie Sanders effect on your wallet https://t.co/wB8I8ZYu2P https://t.co/17jT5qRAu8,1,2,0,0,0,0,0,0,
80,RT @JEvansJD Martin O'Malley as Silkk the Shocker to Hillary & Bernie's Weezy & Juve https://t.co/70SXzBMOIC,1,2,0,0,1,2,0,0,
81,"RT @NolteNC With 10% in, Cruz just jumped over Rubio and Bush into 3rd place.",0,0,0,0,0,0,1,2,
82,Ted Cruz teams up with Rush Limbaugh to take down Marco Rubio https://t.co/d71kpgRIU6,0,0,0,0,0,0,1,2,
83,"RT @PatriotInsight Cruz isnt in politics to make a deal. He is in politics to make a difference.

Story at https://t.co/03zYlswQUP https://t.co/iORYH81aGK",0,0,0,0,0,0,1,1,
84,"RT @LibertyBritt Trump ""I will bring jobs back from China.""  Can we start w all the jobs you sent over there's for cheap labor? #GOPDebate",0,0,1,3,0,0,0,0,
85,Rubio & Bush both look strong in first segment.  Trump getting harsh reception. #GOPDebate,0,0,1,3,0,0,0,0,
86,RT @ddale8 I love this line in @richardwarnica's essay on Trump: https://t.co/fHNhOr99ue https://t.co/zyaeVbzjAB,0,0,1,2,0,0,0,0,
87,And South Carolina Rs may frown on Trump behavior https://t.co/27Mm4u0Vol,0,0,1,3,0,0,0,0,
88,RT @PizzaPartyBen Trump hats for your photoshop pleasure https://t.co/RIBvELQVY1,0,0,1,2,0,0,0,0,
89,Clinton on progressive cred: I was somewhat amused today that Senator Sanders set himself up to be the gatekeeper. https://t.co/DYeEi4Vyzl,1,2,0,0,1,2,0,0,
90,idk but it feels like trumps real talk got a little too real tonight,0,0,1,2,0,0,0,0,
91,"""Hotline Bling"" by Drake is your song of the hour for your chance to win #Power106Crush tix + $100 Cruz Cash! #TheCruzShow",0,0,0,0,0,0,0,0,
92,@VoidBurger The hope that Trump's whole presidential campaign is a big Andy Kaufman joke is all that keeps me going these days.,0,0,1,3,0,0,0,0,
93,Donald trump is trash,0,0,1,3,0,0,0,0,
94,Ted Cruz resurrects a very stale Obamacare claim https://t.co/qZJh4YIpgm #SahelNews,0,0,0,0,0,0,1,3,
95,RT @jwpetersNYT Cruz on the trail vs. Cruz on the donor circuit. @maggieNYT and I look at how he shades his views on social issues https://t.co/Q4rxbjWaKg,0,0,0,0,0,0,1,3,
96,"Trump Today: @JebBush 'Melts Like Butter,' Super Bowl 50 Is 'Very Boring' (Video) https://t.co/Bh5yxYj3AC https://t.co/nLj29dcrAa",0,0,1,2,0,0,0,0,
97,"RT @BreakingBrown Congressional Black Caucus Member: Hillary Clinton Received Endorsement Without Consultation With Us.

Let's break... https://t.co/IGE2OiFQCZ",0,0,0,0,1,3,0,0,
98,Ted Cruz really likes to listen to himself talk.....what's it - 25 minutes now...?,0,0,0,0,0,0,1,3,
99,"RT @KTHopkins Trump says it is time for a strong man in the White House. We need the same at Number Ten.
https://t.co/MGUuk99Iew https://t.co/hgEIdSQdO1",0,0,1,2,0,0,0,0,
100,gina dont hurt my feelings. real questions about clinton credibility. not asking doesnt make them go away https://t.co/p61YYO3vQw,0,0,0,0,1,3,0,0,
101,AP News in Brief at 11:04 p.m. EST https://t.co/dwGckYqPf4 Bernie Sanders in the starting blocks.,1,2,0,0,0,0,0,0,
102,RT @GlennHeiser Bernie Sanders Needs You to Register to Vote Today! https://t.co/hnDxUrcxo5 #Akron #AkronMorningBuzz #Zips #Ohio https://t.co/hfuqD6E6wU,1,1,0,0,0,0,0,0,
103,"RT @sinderbrand Sanders, on his '87 folk album: ""It's the worst album ever recorded. People can't believe how bad it is."" #BizarroTrump",1,2,1,2,0,0,0,0,
104,"Lol ""fold"". I predicted a Trump win in NH, and congratulate him. He won it fair and square. What's the problem? https://t.co/rUtHKJTbub",0,0,1,1,0,0,0,0,
105,You know that #climate denier Cruz is getting his nasty robo call machine in place over a humor article. #NHprimary https://t.co/6OQkIQ3W8G,0,0,0,0,0,0,1,3,
106,RT @halsey THIS is why I support Bernie Sanders. #ICantBreathe https://t.co/NQxwmMmoSG,1,1,0,0,0,0,0,0,
107,Critic's Notebook: Clinton and Sanders Get Into Heated Exchange Over Henry Kissinger https://t.co/VxvZM7baEA https://t.co/zWyNDBS4i2,1,2,0,0,1,2,0,0,
108,"RT @Rev_Xavier Bernie Sanders should take some of that shit he throws at Obama and take his ass to Flint. Be bold, Bernie.",1,3,0,0,0,0,0,0,
109,11:11 trump dies :),0,0,1,3,0,0,0,0,
110,"15 percent of new #Clinton email cache has classified info. #accountability #Hillaryiscorrupt
#HillaryClinton
https://t.co/I55xQakDTT",0,0,0,0,1,3,0,0,
111,RT @JLovesTrump Joe Scarborough: Sen. Ted Cruz's Obamacare defunding tactics are idiotic https://t.co/q0A5D0x8Yg,0,0,0,0,0,0,1,3,
112,Sanders Admits Receiving Free Checking from Big Banks https://t.co/5OxX51ZGJX via @BorowitzReport,1,3,0,0,0,0,0,0,
113,**Must-Read: Mark Thoma**: [Why the Working Class Is Choosing Trump and Sanders](http://equitablegrowth.or... https://t.co/cwtjJgOtSN,1,1,1,1,0,0,0,0,
114,RT @NRO Ex-Spies Say That Clintons Illegal Server Triggered Widespread Devastation https://t.co/6DyiJiK1AW https://t.co/sHWCxISmuR,0,0,0,0,1,3,0,0,
115,"@Reince -The sooner you realize that the people WANT TRUMP, the better you will look in the eyes of the country. We are NOT rolling over.",0,0,1,1,0,0,0,0,
116,Ready to block Trump from your iPhone? https://t.co/SjcZRfWrLC https://t.co/nRziafdqJD,0,0,1,3,0,0,0,0,
117,RT @liewbob Ted Cruz's National Security Advisor Has Zero National Security Experience https://t.co/9GkQSdpOAf,0,0,0,0,0,0,1,3,
118,"Donald Trump, Republican Front-Runner, Wins Applause From Code Pink https://t.co/VNdyncwgOH #DonaldTrump #politics https://t.co/7ssMTL4i4l",0,0,1,1,0,0,0,0,
119,RT @PoliticsJim Bernie or Hillary on Aqua Teen Hunger Force https://t.co/FaGnZ4VBZf,1,2,0,0,1,2,0,0,
120,BBCWorld: Clinton and Sanders go head-to-head https://t.co/OVtp0Gi9uq,1,2,0,0,1,2,0,0,
121,Sanders says Clinton is coming unraveled by his progress https://t.co/FCVT3nlhxL,1,2,0,0,1,2,0,0,
122,Report: Trump planned to propose ban on Muslims long before San Bernardino https://t.co/f2Ij2l6pIR https://t.co/Y38cer6NeI,0,0,1,2,0,0,0,0,
123,RT @pizzmoe These guys are killing conservatism: How Trump & Cruz are accelerating the intellectual debasement of the right https://t.co/Z5eny2RrDC,0,0,1,3,0,0,1,3,
124,Don't like Cruz. Not voting for him. But lawsuit predicated on this nonsense is wrong https://t.co/6T5XEnA4q8 https://t.co/4tDoSlWymT,0,0,0,0,0,0,1,3,
125,"RT @Bourdain Remember the petulant little kid who was always crying for a ""do-over"" then threatening that their ""daddy will sue  you""? #Trump",0,0,1,3,0,0,0,0,
126,"RT @KPhed I knew Bernie was going to have trouble gaining traction with black voters, but the last two days have been horrendous for him. Oh well!",1,3,0,0,0,0,0,0,
127,@tedcruz nailed it on @Foxandfriends today about Trump being a liberal,0,0,1,3,0,0,1,1,
128,From Fred GoldRing on the @HuffPostBlog: A Valentine's Day proposal to Hillary and Bernie: Become a couple https://t.co/wNJNGPtaTt,1,2,0,0,1,2,0,0,
129,RT @VictorPopeJr Hillary Clinton is back tryna reach the youth ___ https://t.co/2UJqwgY6oO,0,0,0,0,1,3,0,0,
130,"RT @the_moviebob So, not a great performance for Sanders, but it's not really a ""fault"" in him. He's a one-issue activist candidate, and that's what happens.",1,3,0,0,0,0,0,0,
131,RT @MMFlint This chart says it all: Where Bernie & Hillary stood on the issues when campaign began. She has now switched on TPP https://t.co/8mS9A2aq7g,1,2,0,0,1,3,0,0,
132,"RT @TheFirstRanger Why is it that Democrats like Hillary & Trump give excuses we wouldn't accept from our kids? 
https://t.co/CRifqQ4OPe",0,0,1,3,1,3,0,0,
133,"RT @YugeMilo __#TRUMP SUPPORTERS PLEASE READ __
Please call & get involved. We need to STOP Cruz/Rubio fraud in its tracks! https://t.co/8g9u5Tzh4Q",0,0,1,1,0,0,1,3,
134,RT @prospect_uk Someone tell Trump: torture produces bad intelligence by impairing the cognitive faculties of those subjected to it https://t.co/ACu90rL6Lz,0,0,1,3,0,0,0,0,
135,"RT @VIralBuzzNewss Cam Newton, Donald Trump & the Lost Advantage of Humility -  https://t.co/zRymicIhSg",0,0,1,3,0,0,0,0,
136,Bernie's Super PAC Hypocrisy: Twice as Much Outside Money Spent Supporting Sanders as Promoting Clinton https://t.co/RVAi7X4shS,1,3,0,0,1,1,0,0,
137,Attention Trumping for Trump ALERT! https://t.co/1etJ0ltQCV,0,0,1,2,0,0,0,0,
138,"Former Senate majority leader: Id have thrown out Cruz for ""liar"" speech | WATCH: https://t.co/4wuUnr53Fq https://t.co/2Xjo7AwzCO",0,0,0,0,0,0,1,3,
139,Bush hugged his family. Trump whacked them. @frankbruni examines the angry dynamics of the G.O.P. debate: https://t.co/DQrxNqmrpT,0,0,1,3,0,0,0,0,
140,"RT @ernieHHI It's Official, Ted Cruz is just another Bought and Paid for Puppet on a String  Diamond and Silk.
SC Watch & Retweet https://t.co/olSSkulGN0",0,0,0,0,0,0,1,3,
141,Ted Cruz has promised to prevent the next John Roberts. Not bloody likely: https://t.co/HaqiWqQzzg #GOPDebate https://t.co/BVDeGaYx66,0,0,0,0,0,0,1,2,
142,"Cruz responds to Trumps recount demands, blames media for Carson kerfuffle: Reality just hit the reality star https://t.co/cONyNB0R3j",0,0,1,3,0,0,1,2,
143,"Hilary Clinton has been excellent in this town hall thus far. Empathetic, engaged, humble and real.",0,0,0,0,1,1,0,0,
144,"Ted Cruzs Failure to Disclose Wall Street Loan 
 #VoteTrump2016 #Election2016
 https://t.co/EEZo0GjXbO https://t.co/Xyxhd1MCnG",0,0,1,1,0,0,1,3,
145,RT @DT_Stephenson @hwb120240 @Kegan05 @realDonaldTrump @YouTube Rubio never supported Amnesty. His focus was border security. Cruz LIED!!!,0,0,1,2,0,0,1,3,
146,@MJK98123 @highclasssmoker @chrisye5123 I hope Trump gets elected so you can be disappointed at how bad he will be as POTUS.,0,0,1,3,0,0,0,0,
147,RT @JoeNBC Remarkable how cost-effective Post says Trump campaign was per vote and stunning how much Jeb spent per vote.  https://t.co/A28DyAHKuq,0,0,1,2,0,0,0,0,
148,@RadioFreeTom That's because Trump has no answer.  He wants the govt to stay just as big or grow larger than it is now.,0,0,1,3,0,0,0,0,
149,Trump and Cruz launch full-blown attacks as Republican race gets personal https://t.co/SSaw7RjxMo,0,0,1,2,0,0,1,2,
150,Stop what you're doing. This website lets you blow a trumpet in Donald Trump's face. At bloody last... https://t.co/DpjW10MLGc,0,0,1,3,0,0,0,0,
151,RT @PoliticsJim #Bernie is going to disappoint you... https://t.co/QGOpdZoehP,1,3,0,0,0,0,0,0,
152,"RT @michaelallenmar The coldness and laughter is what got me:
""Victim Says HILLARY Clinton Put Her ""Through Hell"" in Rape Case""
https://t.co/x1ZIf3BrX7 f",0,0,0,0,1,3,0,0,
153,"RT @JeanetteJing In 1987, Governor Bill Clinton signed a bill honoring the traitorous, slave-owning Confederacy.
HT @TheBpDShow https://t.co/SAzYXjkXs3",0,0,0,0,0,0,0,0,
154,"Trump is rattled, Rubio rebounds in GOP's South Carolina free-for-all https://t.co/kvMJozkmml",0,0,1,3,0,0,0,0,
155,RT @DreadChapo This is why Bernie better https://t.co/3akgnQZbmy,1,1,0,0,0,0,0,0,
156,"RT @Olivianuzzi Amer, a ""businessman"" originally from Lebanon but now a NH resident, said his whole family voted for Trump today https://t.co/vprpemftci",0,0,1,1,0,0,0,0,
157,"RT @FreeBeacon FLASHBACK: Clinton has been breaking it down since at least 2009, when she was secretary of state. https://t.co/8sILkEpYxH",0,0,0,0,1,2,0,0,
158,Trump and Sanders are a step closer to the White House after New Hampshire victory: https://t.co/4btg0GZUWB https://t.co/6yxPATdH6C,1,2,1,2,0,0,0,0,
159,"Love Everyone Often: Stars over mountains in El Chalt_n, Santa Cruz, Argentina [1080x720][OS][OC]: http://bit.... https://t.co/hHbA2nDXHC",0,0,0,0,0,0,0,0,
160,Trump just said the actual US unemployment figure is 10x the official stated number. This is the Republican front-runner.,0,0,1,3,0,0,0,0,
161,RT @aguywithnolife who would you rather have as president retweet for this unplugged toaster fav for donald trump https://t.co/BPRl7dNf4j,0,0,1,3,0,0,0,0,
162,"RT @molltrot @ivancorless @HenryMcKean @mattiemcgrathtd @SeanMoncrieff unfortunately yes ,maybe if Donald Trump joins we've got the new one direction",0,0,1,2,0,0,0,0,
163,"RT @youngvulgarian How does Cruz always look both happy and sad? ""I like lasagna but it's not what I ordered"", his face says. https://t.co/B15sApYwEh",0,0,0,0,0,0,1,3,
164,"RT @ezraklein Not many Muslim Americans support Republicans, but those who do support Trump: https://t.co/1rTQRtEpv5",0,0,1,2,0,0,0,0,
165,RT @reckless The Bernie supporters who inevitably turn to hardcore conservatism in 2030 or so are going to be terrifying.,1,3,0,0,0,0,0,0,
166,RT @DanEggenWPost What Ted Cruz just did to his staff https://t.co/cUE1KEnlmI,0,0,0,0,0,0,1,2,
167,"Donald Trump makes his populist pitchs in New Hampshire, says his rivals are bought https://t.co/LScaYXDJMS https://t.co/77jQ58BxyP",0,0,1,2,0,0,0,0,
168,#BREAKING Trump: Cruz 'Can't Lie Then Hold Up The Bible' - Breitbart... https://t.co/OzBX5LEiCE https://t.co/ToVILEMfTQ,0,0,1,2,0,0,1,3,
169,can't wait for the roast of trump,0,0,1,3,0,0,0,0,
170,RT @moisturizeds me trying to find out where imma live if donald trump becomes president https://t.co/0qTaKHc2lO,0,0,1,3,0,0,0,0,
171,"RT @BigTimeBrownie Millenials+post-millineals, if you don't want Cruz or Trump as President, please vote this year. Thanks",0,0,1,3,0,0,1,3,
172,RT @nytimes The Times editorial board endorses Hillary Clinton for the Democratic nomination https://t.co/PQRut4XIXM via @nytopinion,0,0,0,0,1,2,0,0,
173,"Sanders in 1985: Castro Educated Their Kids, Gave Their Kids Health Care, Totally Transformed Society https://t.co/i1v8KBFvoc",1,3,0,0,0,0,0,0,
174,Who Won The CNN #DemTownHall? Upto 91% say Bernie Sanders won yet another debate against Hillary Clinton.  https://t.co/ugZNLpnr53,1,1,0,0,1,3,0,0,
175,RT @Libertea2012 RT @BernieSanders The pragmatic case for Bernie Sanders https://t.co/B46M49kiXM: Thef https://t.co/UdHMSbUCme https://t.co/HLLfEqZYPy,1,1,0,0,0,0,0,0,
176,"JUST IN: Trump tears into Cruz at #GOPdebate: ""You are the single biggest liar"" https://t.co/Z0lU5gJ1Pg https://t.co/IuDVyAjvfj",0,0,1,2,0,0,1,3,
177,Ted Cruz is hella dumb. https://t.co/eZMk2OVsBc,0,0,0,0,0,0,1,3,
178,"RT @realDonaldTrump ""@DharmaBum77: Donald Trump loves America! He loves Americans! He loves our Vets! #TrumpSupporters @realDonaldTrump https://t.co/NgcoHRLj2M",0,0,1,1,0,0,0,0,
179,"RT @JDiamond1 At @realDonaldTrump's rally tonight at Clemson University, Muslims for Trump: https://t.co/Bqy30L8Avk",0,0,1,1,0,0,0,0,
180,RT @julian_sb13 Gahdamn there go bernie telling the truth once again #FeelTheBern https://t.co/KKZwl6aPO6,1,1,0,0,0,0,0,0,
181,John Kasich is now taking giving his concession speech. He came in second to Donald Trump in the #NHPrimary.,0,0,1,2,0,0,0,0,
182,RT @FiveThirtyEight The Des Moines Register poll  considered the Gold Standard  was wrong about the Trump win: https://t.co/cUTEddkPcV #IACaucus,0,0,1,2,0,0,0,0,
183,Trump Uses Only 5 Words to Completely OBLITERATE Obama's Mosque Visit https://t.co/m9snh2Ahx2 via @Doug_Giles,0,0,1,2,0,0,0,0,
184,"RT @NoahShachtman It's entirely possible that I am currently on acid and this whole weird, weird election is just going on in my head. #Trump #Sanders",1,3,1,3,0,0,0,0,
185,@MitchBehna @realDonaldTrump these Trump Trolls have the Trumpertantrums all the time ___,0,0,1,3,0,0,0,0,
